,Unnamed: 0,Unnamed: 0.1,min,max,mean,med,std,label,Unnamed: 0,Unnamed: 0.1,se,label
133,133.0,133.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,133,133,-6.864644402932153,AF
134,134.0,134.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,134,134,-6.558832871499553,AF
135,135.0,135.0,0.6,1.1,0.8500000000000001,0.8500000000000001,0.3535533905932738,AF,135,135,-6.317517159846083,AF
136,136.0,136.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.0707106781186547,AF,136,136,-6.348880524988815,AF
137,137.0,137.0,0.7,0.7,0.7,0.7,0.0,AF,137,137,-6.881737163025464,AF
138,138.0,138.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,138,138,-6.474319774864924,AF
139,139.0,139.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,139,139,-7.401903458714591,AF
140,140.0,140.0,0.7,0.8,0.75,0.75,0.0707106781186548,AF,140,140,-7.36373486695848,AF
141,141.0,141.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,141,141,-7.010688393930189,AF
142,142.0,142.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,142,142,-6.631377196172612,AF
143,143.0,143.0,0.7,0.7,0.7,0.7,0.0,AF,143,143,-6.731031055284551,AF
144,144.0,144.0,0.6,0.6,0.6,0.6,0.0,AF,144,144,-7.34314484713508,AF
145,145.0,145.0,0.6,0.8,0.7,0.7,0.1414213562373095,AF,145,145,-6.848056544672123,AF
146,146.0,146.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.0707106781186547,AF,146,146,-8.091948858001045,AF
147,147.0,147.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,147,147,-6.769594766362986,AF
148,148.0,148.0,0.6,0.9,0.75,0.75,0.2121320343559642,AF,148,148,,AF
149,149.0,149.0,0.782,1.068,0.925,0.925,0.2022325394193526,AF,149,149,-7.475130228973655,AF
150,150.0,150.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,150,150,-6.305266157816523,AF
151,151.0,151.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,151,151,-5.7995784244996695,AF
152,152.0,152.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.0707106781186547,AF,152,152,-7.291292285321312,AF
153,153.0,153.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,153,153,-7.491577786092904,AF
154,154.0,154.0,0.6,0.9,0.75,0.75,0.2121320343559642,AF,154,154,-7.178917388311451,AF
155,155.0,155.0,0.7,0.9,0.8,0.8,0.1414213562373095,AF,155,155,-6.312806227549317,AF
156,156.0,156.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,156,156,-6.943064204410822,AF
157,157.0,157.0,0.8,0.8,0.8,0.8,0.0,AF,157,157,-5.01372551595541,AF
158,158.0,158.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,158,158,-6.972871509647924,AF
159,159.0,159.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,159,159,-7.535866717324501,AF
160,160.0,160.0,0.7,1.2,0.95,0.95,0.3535533905932738,AF,160,160,-6.784184973651884,AF
161,161.0,161.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,161,161,,AF
162,162.0,162.0,0.7,0.8,0.75,0.75,0.0707106781186548,AF,162,162,-7.381254869688679,AF
163,163.0,163.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.0707106781186547,AF,163,163,-6.580946730232284,AF
164,164.0,164.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,164,164,-7.176236539432049,AF
165,165.0,165.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,165,165,-5.719945351604309,AF
166,166.0,166.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,166,166,-5.911388238357795,AF
167,167.0,167.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,167,167,-6.580213059806359,AF
168,168.0,168.0,0.7,1.2,0.95,0.95,0.3535533905932738,AF,168,168,-6.313359112870517,AF
169,169.0,169.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,169,169,-7.315935288773333,AF
170,170.0,170.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,170,170,-7.483751822392025,AF
171,171.0,171.0,0.6,0.8,0.7,0.7,0.1414213562373095,AF,171,171,-7.795526550750669,AF
172,172.0,172.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,172,172,-6.990366962724621,AF
173,173.0,173.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,173,173,-7.969912159772411,AF
174,174.0,174.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,174,174,-7.960346369823669,AF
175,175.0,175.0,0.7,1.0,0.85,0.85,0.2121320343559642,AF,175,175,,AF
176,176.0,176.0,0.7,0.8,0.75,0.75,0.0707106781186548,AF,176,176,-7.452613108809833,AF
177,177.0,177.0,0.6,0.8,0.7,0.7,0.1414213562373095,AF,177,177,-6.970381722039892,AF
178,178.0,178.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,178,178,-7.076195667684034,AF
179,179.0,179.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,179,179,-7.638004002107616,AF
