,Unnamed: 0,min,max,mean,med,std,label,Unnamed: 0,Unnamed: 0.1,se,label
237,237.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,237,237,-7.272169101600787,AF
238,238.0,-100.0,-100.0,-100.0,-100.0,-100.0,N,238,238,-6.553959973554705,AF
239,239.0,0.7,0.8,0.75,0.75,0.07071067811865482,AF,239,239,-6.643585111017963,AF
240,240.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,240,240,-7.447510229718679,AF
241,241.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,241,241,-7.090072919411527,AF
242,242.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,242,242,-7.7204864431098565,AF
243,243.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,243,243,-6.933430583710639,AF
244,244.0,0.8,0.9,0.8500000000000001,0.8500000000000001,0.07071067811865474,AF,244,244,-6.5100756304251695,AF
245,245.0,0.7,0.8,0.75,0.75,0.07071067811865482,AF,245,245,-7.241867282349787,AF
246,246.0,0.6,0.8,0.7,0.7,0.14142135623730953,AF,246,246,-6.795714629943334,AF
247,247.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,247,247,-6.7951041366126645,AF
248,248.0,0.6,0.8,0.7,0.7,0.14142135623730953,AF,248,248,-6.5496633290536606,AF
249,249.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,249,249,-6.7702872587175635,AF
250,250.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,250,250,-6.72975301176256,AF
251,251.0,0.7,0.7,0.7,0.7,0.0,AF,251,251,-6.9797816188834645,AF
252,252.0,0.7,0.8,0.75,0.75,0.07071067811865482,AF,252,252,-6.478619689199811,AF
253,253.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,253,253,-6.911212315328807,AF
254,254.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,254,254,-7.252616203972117,AF
255,255.0,0.6,1.1,0.8500000000000001,0.8500000000000001,0.35355339059327384,AF,255,255,-6.738426114572428,AF
256,256.0,0.6,0.8,0.7,0.7,0.14142135623730953,AF,256,256,-6.947145237883428,AF
257,257.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,257,257,-7.017927519272082,AF
258,258.0,0.7,1.6,1.075,1.0,0.3284161123592186,PVC,258,258,-7.053596689545514,AF
259,259.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,259,259,-7.08503298854617,AF
260,260.0,0.7,0.9,0.8,0.8,0.14142135623730953,AF,260,260,-6.895513903827918,AF
261,261.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.07071067811865474,AF,261,261,-7.365700047077778,AF
262,262.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,262,262,-7.305763958264028,AF
263,263.0,0.092,0.43200000000000005,0.212,0.11199999999999999,0.1907878402833891,PVC,263,263,-7.275711475455378,AF
264,264.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,264,264,-6.941661219687711,AF
265,265.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,265,265,-6.914427846695845,AF
266,266.0,0.6,0.8,0.7,0.7,0.14142135623730953,AF,266,266,-7.316563870394138,AF
267,267.0,0.6,0.9,0.75,0.75,0.21213203435596428,AF,267,267,-6.925929683139418,AF
